Session,Measurement_Index,Drift_ms,Timestamp
1,1,2.188,2025-08-11T01:21:48.736618
1,2,2.198,2025-08-11T01:22:18.736637
1,3,2.205,2025-08-11T01:22:48.736643
1,4,2.207,2025-08-11T01:23:18.736648
1,5,2.214,2025-08-11T01:23:48.736655
1,6,2.224,2025-08-11T01:24:18.736659
1,7,2.343,2025-08-11T01:24:48.736663
1,8,2.352,2025-08-11T01:25:18.736667
1,9,2.362,2025-08-11T01:25:48.736670
1,10,2.368,2025-08-11T01:26:18.736674
1,11,2.378,2025-08-11T01:26:48.736678
1,12,2.385,2025-08-11T01:27:18.736682
1,13,2.387,2025-08-11T01:27:48.736686
1,14,2.394,2025-08-11T01:28:18.736689
1,15,2.401,2025-08-11T01:28:48.736693
1,16,2.404,2025-08-11T01:29:18.736696
2,1,2.411,2025-08-11T01:21:48.736701
2,2,2.42,2025-08-11T01:22:18.736705
2,3,2.506,2025-08-11T01:22:48.736709
2,4,2.516,2025-08-11T01:23:18.736712
2,5,2.523,2025-08-11T01:23:48.736716
2,6,2.525,2025-08-11T01:24:18.736719
2,7,2.532,2025-08-11T01:24:48.736723
2,8,2.542,2025-08-11T01:25:18.736726
2,9,2.549,2025-08-11T01:25:48.736730
2,10,2.558,2025-08-11T01:26:18.736733
2,11,2.565,2025-08-11T01:26:48.736737
2,12,2.568,2025-08-11T01:27:18.736741
2,13,2.574,2025-08-11T01:27:48.736744
2,14,2.581,2025-08-11T01:28:18.736748
2,15,2.584,2025-08-11T01:28:48.736751
2,16,2.591,2025-08-11T01:29:18.736755
3,1,2.6,2025-08-11T01:21:48.736759
3,2,2.607,2025-08-11T01:22:18.736762
3,3,2.616,2025-08-11T01:22:48.736766
3,4,2.626,2025-08-11T01:23:18.736770
3,5,2.661,2025-08-11T01:23:48.736773
3,6,2.67,2025-08-11T01:24:18.736776
3,7,2.68,2025-08-11T01:24:48.736780
3,8,2.687,2025-08-11T01:25:18.736783
3,9,2.696,2025-08-11T01:25:48.736787
3,10,2.703,2025-08-11T01:26:18.736791
3,11,2.706,2025-08-11T01:26:48.736794
3,12,2.712,2025-08-11T01:27:18.736798
3,13,2.722,2025-08-11T01:27:48.736801
3,14,2.729,2025-08-11T01:28:18.736805
3,15,2.738,2025-08-11T01:28:48.736808
3,16,2.745,2025-08-11T01:29:18.736812
4,1,2.748,2025-08-11T01:21:48.736815
4,2,2.754,2025-08-11T01:22:18.736819
4,3,2.762,2025-08-11T01:22:48.736822
4,4,2.764,2025-08-11T01:23:18.736826
4,5,2.771,2025-08-11T01:23:48.736830
4,6,2.78,2025-08-11T01:24:18.736833
4,7,2.787,2025-08-11T01:24:48.736839
4,8,2.797,2025-08-11T01:25:18.736842
4,9,2.804,2025-08-11T01:25:48.736846
4,10,2.806,2025-08-11T01:26:18.736849
4,11,2.813,2025-08-11T01:26:48.736853
4,12,2.822,2025-08-11T01:27:18.736856
4,13,2.825,2025-08-11T01:27:48.736860
4,14,2.834,2025-08-11T01:28:18.736863
4,15,2.841,2025-08-11T01:28:48.736867
4,16,2.843,2025-08-11T01:29:18.736870
5,1,2.85,2025-08-11T01:21:48.736875
5,2,2.86,2025-08-11T01:22:18.736878
5,3,2.867,2025-08-11T01:22:48.736882
5,4,2.876,2025-08-11T01:23:18.736885
5,5,2.883,2025-08-11T01:23:48.736889
5,6,2.886,2025-08-11T01:24:18.736892
5,7,2.892,2025-08-11T01:24:48.736895
5,8,2.902,2025-08-11T01:25:18.736899
5,9,2.909,2025-08-11T01:25:48.736902
5,10,2.918,2025-08-11T01:26:18.736905
5,11,2.925,2025-08-11T01:26:48.736909
