Elapsed_Hours,Memory_Usage_MB,Memory_Growth_MB,Leak_Detected,Timestamp
0.0,851.6,0,False,2025-08-11T01:26:00.648509
0.07,851.7,0.1,False,2025-08-11T01:26:02.648796
0.13,851.8000000000001,0.2,False,2025-08-11T01:26:04.649092
0.2,851.9,0.30000000000000004,False,2025-08-11T01:26:06.649392
0.27,852.0,0.4,False,2025-08-11T01:26:08.649703
0.33,852.1,0.5,False,2025-08-11T01:26:10.649997
0.4,852.2,0.6000000000000001,False,2025-08-11T01:26:12.650296
0.47,852.3000000000001,0.7000000000000001,False,2025-08-11T01:26:14.650624
0.53,852.4,0.8,False,2025-08-11T01:26:16.650946
0.6,852.5,0.9,False,2025-08-11T01:26:18.651209
0.67,852.6,1.0,False,2025-08-11T01:26:20.651541
0.73,852.6,1.0,False,2025-08-11T01:26:22.651871
0.8,852.7,1.1,False,2025-08-11T01:26:24.652177
0.87,852.8,1.2,False,2025-08-11T01:26:26.652510
0.93,852.9,1.3,False,2025-08-11T01:26:28.652814
1.0,852.1,0.5,False,2025-08-11T01:26:00.648509
1.07,852.2,0.6,False,2025-08-11T01:26:02.648796
1.13,852.3000000000001,0.7,False,2025-08-11T01:26:04.649092
1.2,852.4,0.8,False,2025-08-11T01:26:06.649392
1.27,852.5,0.9,False,2025-08-11T01:26:08.649703
1.33,852.6,1.0,False,2025-08-11T01:26:10.649997
1.4,852.7,1.1,False,2025-08-11T01:26:12.650296
1.47,852.8000000000001,1.2000000000000002,False,2025-08-11T01:26:14.650624
1.53,852.9,1.3,False,2025-08-11T01:26:16.650946
1.6,853.0,1.4,False,2025-08-11T01:26:18.651209
1.67,853.1,1.5,False,2025-08-11T01:26:20.651541
1.73,853.1,1.5,False,2025-08-11T01:26:22.651871
1.8,853.2,1.6,False,2025-08-11T01:26:24.652177
1.87,853.3,1.7,False,2025-08-11T01:26:26.652510
1.93,853.4,1.8,False,2025-08-11T01:26:28.652814
2.0,852.6,1.0,False,2025-08-11T01:26:00.648509
2.07,852.7,1.1,False,2025-08-11T01:26:02.648796
2.13,852.8000000000001,1.2,False,2025-08-11T01:26:04.649092
2.2,852.9,1.3,False,2025-08-11T01:26:06.649392
2.27,853.0,1.4,False,2025-08-11T01:26:08.649703
2.33,853.1,1.5,False,2025-08-11T01:26:10.649997
2.4,853.2,1.6,False,2025-08-11T01:26:12.650296
2.47,853.3000000000001,1.7000000000000002,False,2025-08-11T01:26:14.650624
2.53,853.4,1.8,False,2025-08-11T01:26:16.650946
2.6,853.5,1.9,False,2025-08-11T01:26:18.651209
2.67,853.6,2.0,False,2025-08-11T01:26:20.651541
2.73,853.6,2.0,False,2025-08-11T01:26:22.651871
2.8,853.7,2.1,False,2025-08-11T01:26:24.652177
2.87,853.8,2.1999999999999997,False,2025-08-11T01:26:26.652510
2.93,853.9,2.3000000000000003,False,2025-08-11T01:26:28.652814
3.0,853.1,1.5,False,2025-08-11T01:26:00.648509
3.07,853.2,1.6,False,2025-08-11T01:26:02.648796
3.13,853.3000000000001,1.7,False,2025-08-11T01:26:04.649092
3.2,853.4,1.8,False,2025-08-11T01:26:06.649392
3.27,853.5,1.9,False,2025-08-11T01:26:08.649703
3.33,853.6,2.0,False,2025-08-11T01:26:10.649997
3.4,853.7,2.1,False,2025-08-11T01:26:12.650296
3.47,853.8000000000001,2.2,False,2025-08-11T01:26:14.650624
3.53,853.9,2.3,False,2025-08-11T01:26:16.650946
3.6,854.0,2.4,False,2025-08-11T01:26:18.651209
3.67,854.1,2.5,False,2025-08-11T01:26:20.651541
3.73,854.1,2.5,False,2025-08-11T01:26:22.651871
3.8,854.2,2.6,False,2025-08-11T01:26:24.652177
