Elapsed_Hours,Memory_Usage_MB,Memory_Growth_MB,Leak_Detected,Timestamp
0.0,866.4,0,False,2025-08-11T01:29:08.269480
0.07,866.5,0.1,False,2025-08-11T01:29:10.269804
0.13,866.6,0.2,False,2025-08-11T01:29:12.270115
0.2,866.6999999999999,0.30000000000000004,False,2025-08-11T01:29:14.270477
0.27,866.8,0.4,False,2025-08-11T01:29:16.270785
0.33,866.9,0.5,False,2025-08-11T01:29:18.271103
0.4,867.0,0.6000000000000001,False,2025-08-11T01:29:20.271476
0.47,867.1,0.7000000000000001,False,2025-08-11T01:29:22.271751
0.53,867.1999999999999,0.8,False,2025-08-11T01:29:24.272087
0.6,867.3,0.9,False,2025-08-11T01:29:26.272478
0.67,867.4,1.0,False,2025-08-11T01:29:28.272786
0.73,867.1,0.7000000000000001,False,2025-08-11T01:29:30.273102
0.8,867.2,0.8000000000000002,False,2025-08-11T01:29:32.273419
0.87,867.3,0.9,False,2025-08-11T01:29:34.273755
0.93,867.4,1.0,False,2025-08-11T01:29:36.274064
1.0,866.9,0.5,False,2025-08-11T01:29:08.269480
1.07,867.0,0.6,False,2025-08-11T01:29:10.269804
1.13,867.1,0.7,False,2025-08-11T01:29:12.270115
1.2,867.1999999999999,0.8,False,2025-08-11T01:29:14.270477
1.27,867.3,0.9,False,2025-08-11T01:29:16.270785
1.33,867.4,1.0,False,2025-08-11T01:29:18.271103
1.4,867.5,1.1,False,2025-08-11T01:29:20.271476
1.47,867.6,1.2000000000000002,False,2025-08-11T01:29:22.271751
1.53,867.6999999999999,1.3,False,2025-08-11T01:29:24.272087
1.6,867.8,1.4,False,2025-08-11T01:29:26.272478
1.67,867.9,1.5,False,2025-08-11T01:29:28.272786
1.73,867.6,1.2000000000000002,False,2025-08-11T01:29:30.273102
1.8,867.7,1.3000000000000003,False,2025-08-11T01:29:32.273419
1.87,867.8,1.4,False,2025-08-11T01:29:34.273755
1.93,867.9,1.5,False,2025-08-11T01:29:36.274064
2.0,867.4,1.0,False,2025-08-11T01:29:08.269480
